#From myron%iuegtc.DECNET@cfa.harvard.edu Mon May 15 10:43:00 1995
#Return-Path: <myron%iuegtc.DECNET@cfa.harvard.edu>
#Received: from cfa.harvard.edu by cfassp3.harvard.edu (4.1/SMI-4.1)
#	id AA13931; Mon, 15 May 95 10:42:59 EDT
#Message-Id: <9505151442.AA13931@cfassp3.harvard.edu>
#Received: from IUEGTC.DECnet MAIL11D_V3 by cfa.harvard.edu; Mon, 15 May 95 10:4#1:09 -0400
#Date: Mon, 15 May 95 10:41:09 -0400
#From: myron%iuegtc.DECNET@cfa.harvard.edu
#To: dupree%cfa.DECNET@cfa.harvard.edu
#Subject: RVs for a Ori: Col#1=HJD, Col#2=RV, Col#4=residRVs w trend removed
#Content-Length: 6693
#X-Lines: 208
#Status: RO
#
05892.    22.81   -6.01   -2.38 
05992.    25.37   -6.77    1.35
05993.    25.37   -5.97    1.35
06018.    26.07   -8.39    2.30
06025.    25.49  -10.66    1.69
06035.    25.16  -11.99    1.38
06071.    25.89   -4.92    2.45
06082.    21.90   -3.90   -1.43
06114.    19.70   -5.70   -3.41
06125.    19.83   -6.43   -3.21
06135.    19.68   -6.38   -3.31
06168.    20.61   -4.31   -2.16
06332.    22.17   -5.27    0.09
06342.    21.78   -4.48   -0.29
06349.    22.51   -4.91    0.48
06397.    23.81   -7.61    1.85 
06403.    23.94   -5.84    1.97
06412.    23.52   -7.02    1.78
06413.    23.74   -6.74    1.55
06439.    23.09   -5.99    1.17
06448.    23.40   -5.90    1.50
06456.    24.58   -6.38    2.67
06474.    23.86   -6.26    1.94
06475.    22.86   -3.76    0.94
06478.    23.07   -5.07    1.17
06479.    22.79   -5.95    0.87
06485.    22.10   -5.50    0.20
06488.    21.84   -5.24   -0.08
06492.    20.04   -5.24   -1.87
06493.    20.67   -4.47   -1.23
06494.    21.69   -4.19   -0.21
06495.    21.03   -4.83   -0.86
06496.    21.04   -4.64   -0.87
06504.    22.11   -4.81    0.38
06505.    19.78   -5.78   -2.14
06529.    22.30   -3.10    0.42
06538.    20.05   -3.05   -0.50
06547.    22.34   -2.64    0.42
06548.    21.43   -1.83   -0.50
06555.    19.96   -2.36   -1.99
06564.    21.54   -3.24   -0.41
06565.    22.07   -3.17    0.14
06724.    20.83   -3.83   -1.43 
06742.    20.77   -3.67   -1.54
06754.    21.54   -2.94   -0.82
06763.    21.49   -5.69   -0.91
06783.    21.36   -5.69   -1.09
06784.    23.17   -3.97    0.76
06805.    23.23   -4.83    0.74
06809.    23.27   -1.47    0.76
06810.    23.57   -4.37    1.08
06814.    22.99   -3.59    0.44
06819.    22.36    0.14   -0.19
06821.    23.16   -4.66    0.62
06822.    23.23   -4.93    0.58
06827.    21.51    1.59   -1.10
06828.    23.18   -4.58    0.59
07090.    23.98    0.22    0.23
07109.    24.70    0.20    0.83
07132.    25.20   -0.30    1.19
07141.    24.71   -0.91    0.67
07153.    25.64   -1.44    1.52
07159.    24.94    0.26    0.78
07159.1   25.12   -0.12    0.95
07171.    25.38    6.22    1.19
07178.    23.66    2.64   -0.58
