#From rstefanik@cfa.harvard.edu  Tue Apr 12 21:49:11 2005
#Return-Path: <rstefanik@cfa.harvard.edu>
#Received: from cfa.harvard.edu (cfa [131.142.10.1])
#	by saturn.cfa.harvard.edu (8.12.9-20030924/8.12.9/cfunix S 1.0) with ESMTP id j3D1nAvB017868
#	for <dupree@saturn>; Tue, 12 Apr 2005 21:49:10 -0400 (EDT)
#Received: from BIKER2 (biker2 [131.142.176.123])
#	by cfa.harvard.edu (8.12.9-20030924/8.12.9/cfunix Mast-Sol 1.0) with ESMTP id j3D1n8iZ005866
#	for <adupree@cfa.harvard.edu>; Tue, 12 Apr 2005 21:49:09 -0400 (EDT)
#From: rstefanik@cfa.harvard.edu
#To: adupree@cfa.harvard.edu
#Date: Tue, 12 Apr 2005 21:51:15 -0500
#MIME-Version: 1.0
#Subject: alphaORI
#Message-ID: <425C42D3.2952.710CFC2@localhost>
#Priority: normal
#X-mailer: Pegasus Mail for Windows (4.21c)
#Content-transfer-encoding: 7BIT
#X-Spam-Checker-Version: SpamAssassin 3.0.1-cf (2004-10-22) on 
#	saturn.cfa.harvard.edu
#X-Spam-Level: 
#X-Spam-Status: No, score=0.4 required=5.0 tests=BAD_X_HEADERS,NO_REAL_NAME 
#	autolearn=disabled version=3.0.1-cf
#X-Lines: 124
#Status: RO
#Content-Type: text/plain; charset="US-ASCII"
#Content-Description: Mail message body
#Content-Length: 3612
#
#Here is an up-to-date list of CfA velocities of alphaORI.  Willie and I have 
#convinced ourselves that there is no "jump" in the data: combining the CfA, 
#Smith and other older velocities clearly shows a long period variation - we 
#just happened to have started the CfA monitoring when the velocity was changing 
#most rapidly.  Ignore column three.
#
#STAR:  alphaORI     05:55:10.3 +07:24:25 mx1  
    50157.5921   21.41 150.7
    50171.5465   21.81 150.7
    50176.5586   21.38 150.7
    50186.5463   21.33 150.7
    50317.8660   22.41 150.7
    50336.8935   19.59 150.7
    50347.9100   18.44 150.7
    50379.9198   18.10 150.7
    50443.7522   19.96 150.7
    50447.7537   20.26 150.7
    50460.7418   19.70 150.7
    50475.6955   19.90 150.7
    50486.7338   19.99 150.7
    50492.6107   19.78 150.7
    50500.5958   19.40 150.7
    50527.5858   20.42 150.7
    50536.5832   20.62 150.7
    50691.8692   23.95 150.7
    50714.7365   24.42 150.7
    50715.9169   24.88 150.7
    50716.9116   24.36 150.7
    50718.9035   24.84 150.7
    50721.9084   24.50 150.7
    50724.9153   25.52 150.7
    50727.8552   23.71 150.7
    50755.8824   24.29 150.7
    50773.8622   24.75 150.7
    50792.7775   23.56 150.7
    50801.6531   22.73 150.7
    50814.7770   21.77 150.7
    50824.7614   21.52 150.7
    50843.6639   21.25 150.7
    50854.7054   20.72 150.7
    50889.6485   21.97 150.7
    50899.4970   20.32 150.7
    50910.5811   21.22 150.7
    50925.5131   20.46 150.7
    51077.8367   23.26 150.7
    51093.8261   23.11 150.7
    51102.9153   23.52 150.7
    51109.8382   23.70 150.7
    51119.8451   23.93 150.7
    51141.8455   23.16 150.7
    51150.7095   22.82 150.7
    51184.7565   24.10 150.7
    51196.7412   24.47 150.7
    51204.5742   25.13 150.7
    51240.6603   23.04 150.7
    51254.5250   21.58 150.7
    51261.5338   21.46 150.7
    51492.8076   20.59 150.7
    51507.7610   18.95 150.7
    51522.7978   21.18 150.7
    51537.7846   20.92 150.7
    51559.5854   20.72 150.7
    51576.5507   20.66 150.7
    51609.5728   20.48 150.7
    51630.5770   20.77 150.7
    51866.8062   20.56 150.7
    51885.7788   22.50 150.7
    51897.6975   20.88 150.7
    51932.6481   20.18 150.7
    51964.6770   20.86 150.7
    51994.6067   21.90 150.7
    52209.8981   20.71 150.7
    52266.7094   19.45 150.7
    52288.7140   19.49 150.7
    52303.6240   19.22 150.7
    52315.5929   20.28 150.7
    52341.5698   21.38 150.7
    52364.5533   22.68 150.7
    52536.8777   21.27 150.7
    52546.8831   20.57 150.7
    52547.9044   20.15 150.7
    52548.8888   20.44 150.7
    52549.9175   20.41 150.7
    52553.9024   19.72 150.7
    52555.9236   18.72 150.7
    52556.8967   19.25 150.7
    52562.8616   19.39 150.7
    52564.8970   19.14 150.7
    52566.9233   20.23 150.7
    52586.6796   20.21 150.7
    52647.7116   18.80 150.7
    52656.5579   19.49 150.7
    52664.6131   18.04 150.7
    52668.6217   18.23 150.7
    52682.5062   18.00 150.7
    52685.6806   17.80 150.7
    52695.5273   18.82 150.7
    52697.6234   17.69 150.7
    52698.5251   18.26 150.7
    52702.5748   17.77 150.7
    52703.5525   17.97 150.7
    52706.5247   18.92 150.7
    52713.6226   18.71 150.7
    52727.5556   19.52 150.7
    52758.5135   21.30 150.7
    52932.9335   22.16 150.7
    52990.7371   23.60 150.7
    53000.6782   23.15 150.7
    53012.6531   22.51 150.7
    53049.5831   21.06 150.7
    53058.5956   20.66 150.7
    53400.5977   19.30 150.7
    53428.5628   19.02 150.7
# END
#
#
#
#-- Robert Stefanik
#    rstefanik@cfa.harvard.edu
#   Oak Ridge Observatory
#   42 Pinnacle Road
#   Harvard, MA  01451
#   617-495-7070


